committee,id,place_name,jew,pal,coop,cluster,place_id,box,bloc,elligible,voters,illegal,legal,AMT,B,G,D,WM,T,KN,L,MHL,MRC,AM,PH,SS,others,prop_voters,p_AMT,p_B,p_G,p_D,p_WM,p_T,p_KN,p_L,p_MHL,p_MRC,p_AM,p_PH,p_SS,p_others
17,9402,QRIT GT,1,0,0,,2630,12.2,2,647,463,5,458,4,4,7,0,0,56,40,27,190,2,0,41,85,2,0.707882535,0.008733624,0.008733624,0.015283843,0,0,0.122270742,0.087336245,0.058951965,0.414847162,0.004366812,0,0.089519651,0.18558952,0.004366812
17,9403,QRIT GT,1,0,0,,2630,12.3,2,646,435,0,435,2,4,6,0,0,66,41,18,165,1,0,39,88,5,0.673374613,0.004597701,0.009195402,0.013793103,0,0,0.151724138,0.094252874,0.04137931,0.379310345,0.002298851,0,0.089655172,0.202298851,0.011494253
17,9404,QRIT GT,1,0,0,,2630,14.1,1,364,244,6,238,2,0,0,0,0,32,13,12,108,0,0,12,54,5,0.653846154,0.008403361,0,0,0,0,0.134453782,0.054621849,0.050420168,0.453781513,0,0,0.050420168,0.226890756,0.021008403
17,9405,QRIT GT,1,0,0,,2630,14.2,1,363,258,5,253,4,3,9,0,0,34,3,9,121,2,0,24,38,6,0.696969697,0.015810277,0.011857708,0.035573123,0,0,0.134387352,0.011857708,0.035573123,0.47826087,0.007905138,0,0.09486166,0.150197628,0.023715415
17,9406,QRIT GT,1,0,0,,2630,15,15,609,370,3,367,3,2,10,0,0,54,15,35,153,2,0,21,68,4,0.602627258,0.008174387,0.005449591,0.027247956,0,0,0.147138965,0.040871935,0.095367847,0.416893733,0.005449591,0,0.057220708,0.185286104,0.010899183
17,9407,QRIT GT,1,0,0,,2630,16,8,588,359,4,355,0,2,15,0,0,58,24,25,152,4,0,11,58,6,0.603741497,0,0.005633803,0.042253521,0,0,0.163380282,0.067605634,0.070422535,0.428169014,0.011267606,0,0.030985915,0.163380282,0.016901408
17,9408,QRIT GT,1,0,0,,2630,17,18,497,352,2,350,3,1,6,0,0,44,13,16,172,0,0,30,55,10,0.704225352,0.008571429,0.002857143,0.017142857,0,0,0.125714286,0.037142857,0.045714286,0.491428571,0,0,0.085714286,0.157142857,0.028571429
17,9409,QRIT GT,1,0,0,,2630,18,8,460,297,5,292,1,2,10,0,0,46,18,15,119,4,0,14,61,2,0.634782609,0.003424658,0.006849315,0.034246575,0,0,0.157534247,0.061643836,0.051369863,0.407534247,0.01369863,0,0.047945205,0.20890411,0.006849315
17,9410,QRIT GT,1,0,0,,2630,19,6,492,289,1,288,6,0,13,0,0,23,28,43,122,1,0,12,33,7,0.585365854,0.020833333,0,0.045138889,0,0,0.079861111,0.097222222,0.149305556,0.423611111,0.003472222,0,0.041666667,0.114583333,0.024305556
17,9411,QRIT GT,1,0,0,,2630,21,5,422,268,4,264,2,2,54,0,0,30,9,13,80,1,2,13,55,3,0.625592417,0.007575758,0.007575758,0.204545455,0,0,0.113636364,0.034090909,0.049242424,0.303030303,0.003787879,0.007575758,0.049242424,0.208333333,0.011363636
17,9412,QRIT GT,1,0,0,,2630,22,5,585,410,3,407,15,1,7,0,0,62,31,21,153,1,0,46,59,11,0.695726496,0.036855037,0.002457002,0.017199017,0,0,0.152334152,0.076167076,0.051597052,0.375921376,0.002457002,0,0.113022113,0.144963145,0.027027027
17,9413,QRIT GT,1,0,0,,2630,23,6,470,280,4,276,5,0,9,0,0,44,25,21,108,2,0,17,42,3,0.587234043,0.018115942,0,0.032608696,0,0,0.15942029,0.09057971,0.076086957,0.391304348,0.007246377,0,0.061594203,0.152173913,0.010869565
17,9414,QRIT GT,1,0,0,,2630,24,18,537,388,5,383,4,4,8,0,0,44,34,2,169,1,0,40,75,2,0.713221601,0.010443864,0.010443864,0.020887728,0,0,0.114882507,0.088772846,0.005221932,0.441253264,0.002610966,0,0.104438642,0.195822454,0.005221932
17,9415,QRIT GT,1,0,0,,2630,25,7,585,435,0,435,7,2,6,0,0,63,35,15,200,3,0,32,71,1,0.743589744,0.016091954,0.004597701,0.013793103,0,0,0.144827586,0.08045977,0.034482759,0.459770115,0.006896552,0,0.073563218,0.163218391,0.002298851
17,9416,QRIT GT,1,0,0,,2630,26,24,609,367,3,364,10,0,6,0,0,58,12,26,149,1,1,18,76,7,0.597701149,0.027472527,0,0.016483516,0,0,0.159340659,0.032967033,0.071428571,0.409340659,0.002747253,0.002747253,0.049450549,0.208791209,0.019230769
17,9417,QRIT GT,1,0,0,,2630,28,8,637,389,2,387,4,0,15,0,0,45,18,18,210,1,0,30,37,9,0.607535322,0.010335917,0,0.03875969,0,0,0.11627907,0.046511628,0.046511628,0.542635659,0.002583979,0,0.07751938,0.095607235,0.023255814
17,9418,QRIT GT,1,0,0,,2630,29,11,412,291,4,287,1,0,6,1,1,26,35,18,132,1,0,30,26,10,0.696601942,0.003484321,0,0.020905923,0.003484321,0.003484321,0.090592334,0.12195122,0.06271777,0.459930314,0.003484321,0,0.104529617,0.090592334,0.034843206
17,9419,QRIT GT,1,0,0,,2630,30,11,587,426,1,425,6,3,7,0,0,92,32,23,135,2,0,45,72,8,0.724020443,0.014117647,0.007058824,0.016470588,0,0,0.216470588,0.075294118,0.054117647,0.317647059,0.004705882,0,0.105882353,0.169411765,0.018823529
17,9420,QRIT GT,1,0,0,,2630,31,3,590,351,7,344,7,1,8,0,1,46,27,38,142,1,0,14,45,14,0.583050847,0.020348837,0.002906977,0.023255814,0,0.002906977,0.13372093,0.078488372,0.110465116,0.412790698,0.002906977,0,0.040697674,0.130813953,0.040697674
17,9421,QRIT GT,1,0,0,,2630,32,4,583,373,6,367,3,2,5,1,0,75,27,26,149,4,0,17,45,13,0.629502573,0.008174387,0.005449591,0.013623978,0.002724796,0,0.204359673,0.073569482,0.070844687,0.40599455,0.010899183,0,0.046321526,0.122615804,0.035422343
17,9422,QRIT GT,1,0,0,,2630,33,3,456,302,5,297,3,0,8,0,0,29,35,20,133,1,0,20,42,6,0.651315789,0.01010101,0,0.026936027,0,0,0.097643098,0.117845118,0.067340067,0.447811448,0.003367003,0,0.067340067,0.141414141,0.02020202
17,9423,QRIT GT,1,0,0,,2630,34,3,527,330,1,329,7,6,8,0,1,36,38,30,126,4,0,25,42,6,0.624288425,0.021276596,0.018237082,0.024316109,0,0.003039514,0.109422492,0.11550152,0.09118541,0.382978723,0.012158055,0,0.075987842,0.127659574,0.018237082
17,9424,QRIT GT,1,0,0,,2630,35,3,503,339,2,337,7,5,17,0,0,48,38,8,108,4,0,37,59,6,0.669980119,0.020771513,0.014836795,0.050445104,0,0,0.142433234,0.112759644,0.023738872,0.320474777,0.011869436,0,0.109792285,0.175074184,0.017804154
17,9425,QRIT GT,1,0,0,,2630,36,11,493,282,5,277,2,0,17,0,0,38,28,17,105,0,0,13,54,3,0.561866126,0.007220217,0,0.061371841,0,0,0.137184116,0.101083032,0.061371841,0.379061372,0,0,0.046931408,0.194945848,0.010830325
17,9426,QRIT GT,1,0,0,,2630,37,4,538,346,5,341,6,3,11,0,0,35,29,29,142,2,0,51,26,7,0.633828996,0.017595308,0.008797654,0.032258065,0,0,0.102639296,0.085043988,0.085043988,0.416422287,0.005865103,0,0.149560117,0.076246334,0.020527859
17,9427,QRIT GT,1,0,0,,2630,38,11,430,263,7,256,1,1,3,0,0,34,20,23,119,1,0,14,32,8,0.595348837,0.00390625,0.00390625,0.01171875,0,0,0.1328125,0.078125,0.08984375,0.46484375,0.00390625,0,0.0546875,0.125,0.03125
17,9428,QRIT GT,1,0,0,,2630,39,11,438,319,1,318,2,9,12,0,0,49,34,7,113,1,0,36,53,2,0.726027397,0.006289308,0.028301887,0.037735849,0,0,0.15408805,0.106918239,0.022012579,0.355345912,0.003144654,0,0.113207547,0.166666667,0.006289308
17,9429,QRIT GT,1,0,0,,2630,40,4,466,338,3,335,5,1,19,0,0,49,13,7,140,1,0,17,79,4,0.71888412,0.014925373,0.002985075,0.056716418,0,0,0.146268657,0.03880597,0.020895522,0.417910448,0.002985075,0,0.050746269,0.235820896,0.011940299
17,9430,QRIT GT,1,0,0,,2630,41,5,594,314,2,312,3,0,43,0,0,26,23,54,82,3,0,20,51,7,0.525252525,0.009615385,0,0.137820513,0,0,0.083333333,0.073717949,0.173076923,0.262820513,0.009615385,0,0.064102564,0.163461538,0.022435897
17,9431,QRIT GT,1,0,0,,2630,42,5,501,271,1,270,3,3,8,0,0,27,29,29,99,0,1,34,29,8,0.538922156,0.011111111,0.011111111,0.02962963,0,0,0.1,0.107407407,0.107407407,0.366666667,0,0.003703704,0.125925926,0.107407407,0.02962963
17,9432,QRIT GT,1,0,0,,2630,43,4,553,399,3,396,2,2,5,0,1,66,39,20,158,1,0,53,41,8,0.716094033,0.005050505,0.005050505,0.012626263,0,0.002525253,0.166666667,0.098484848,0.050505051,0.398989899,0.002525253,0,0.133838384,0.103535354,0.02020202
17,9433,QRIT GT,1,0,0,,2630,44,4,408,290,1,289,3,0,3,0,0,37,20,31,125,1,0,24,39,6,0.708333333,0.010380623,0,0.010380623,0,0,0.128027682,0.069204152,0.107266436,0.432525952,0.003460208,0,0.083044983,0.134948097,0.020761246
17,9434,QRIT GT,1,0,0,,2630,45,18,582,436,0,436,3,2,7,0,0,43,47,7,225,5,0,27,67,3,0.749140893,0.006880734,0.004587156,0.016055046,0,0,0.098623853,0.107798165,0.016055046,0.516055046,0.01146789,0,0.061926606,0.153669725,0.006880734
17,9435,QRIT GT,1,0,0,,2630,48.1,32,527,434,3,431,3,1,234,0,0,43,8,6,61,1,0,10,64,0,0.817836812,0.006960557,0.002320186,0.542923434,0,0,0.099767981,0.018561485,0.013921114,0.141531323,0.002320186,0,0.023201856,0.148491879,0
17,9436,QRIT GT,1,0,0,,2630,48.2,32,527,432,2,430,1,1,257,0,0,29,17,4,56,0,0,13,50,2,0.815939279,0.002325581,0.002325581,0.597674419,0,0,0.06744186,0.039534884,0.009302326,0.130232558,0,0,0.030232558,0.11627907,0.004651163
17,9437,QRIT GT,1,0,0,,2630,48.3,32,527,437,5,432,1,0,284,0,0,25,15,15,46,0,0,24,21,1,0.819734345,0.002314815,0,0.657407407,0,0,0.05787037,0.034722222,0.034722222,0.106481481,0,0,0.055555556,0.048611111,0.002314815
